(-11.7, -0.5)
(-11.8, -0.5)
(-11.9, -0.5)
(-12.0, -0.5)
(-12.1, -0.5)
(-12.2, -0.5)
(-12.3, -0.5)
(-12.4, -0.5)
(-12.5, -0.5)
(-12.6, -0.5)
(-12.7, -0.5)
(-12.8, -0.5)
(-12.9, -0.5)
(-13.0, -0.5)
(-13.1, -0.5)
(-13.2, -0.5)
(-13.3, -0.5)
(-13.4, -0.5)
(-13.5, -0.5)
(-13.6, -0.5)
(-13.7, -0.5)
(-13.8, -0.5)
(-13.9, -0.5)
(-14.0, -0.5)
(-14.1, -0.5)
(-14.2, -0.5)
(-14.3, -0.5)
(-14.4, -0.5)
(-14.5, -0.5)
(-14.6, -0.5)
(-14.7, -0.5)
(-14.8, -0.5)
(-14.9, -0.5)
(-15.0, -0.5)
(-15.1, -0.5)
(-15.2, -0.5)
(-15.3, -0.5)
(-15.4, -0.5)
(-15.5, -0.5)
(-15.6, -0.5)
(-15.7, -0.5)
(-15.8, -0.5)
(-15.9, -0.5)
(-16.0, -0.5)
(-16.1, -0.5)
(-16.2, -0.5)
(-16.3, -0.5)
(-16.4, -0.5)
(-16.5, -0.5)
(-16.6, -0.5)
(-16.7, -0.5)
(-16.8, -0.5)
(-16.9, -0.5)
(-17.0, -0.5)
(-17.1, -0.5)
(-17.2, -0.5)
(-17.3, -0.5)
(-17.4, -0.5)
(-17.5, -0.5)
(-17.6, -0.5)
(-17.7, -0.5)
(-17.8, -0.5)
(-17.9, -0.5)
(-18.0, -0.5)
(-18.1, -0.5)
(-18.2, -0.5)
(-18.3, -0.5)
(-18.4, -0.5)
(-18.5, -0.5)
(-18.6, -0.5)
(-18.7, -0.5)
(-18.8, -0.5)
(-18.9, -0.5)
(-19.0, -0.5)
(-19.1, -0.5)
(-19.2, -0.5)
(-19.3, -0.5)
(-19.4, -0.5)
(-19.5, -0.5)
(-19.6, -0.5)
(-19.7, -0.5)
(-19.8, -0.5)
(-19.9, -0.5)
(-20.0, -0.5)
(-20.1, -0.5)
(-20.2, -0.5)
(-20.3, -0.5)
(-20.4, -0.5)
(-20.5, -0.5)
(-20.6, -0.5)
(-20.7, -0.5)
(-20.8, -0.5)
(-20.9, -0.5)
(-21.0, -0.5)
(-21.1, -0.5)
(-21.2, -0.5)
(-21.3, -0.5)
(-21.4, -0.5)
(-21.5, -0.5)
(-21.6, -0.5)
(-21.7, -0.5)
(-21.8, -0.5)
(-21.9, -0.5)
(-22.0, -0.5)
(-22.1, -0.5)
(-22.2, -0.5)
(-22.3, -0.5)
(-22.4, -0.5)
(-22.5, -0.5)
(-22.6, -0.5)
(-22.7, -0.5)
(-22.8, -0.5)
(-22.9, -0.5)
(-23.0, -0.5)
(-23.1, -0.5)
(-23.2, -0.5)
(-23.3, -0.5)
(-23.4, -0.5)
(-23.5, -0.5)
(-23.6, -0.5)
(-23.7, -0.5)
(-23.8, -0.5)
(-23.9, -0.5)
(-24.0, -0.5)
(-24.1, -0.5)
(-24.2, -0.5)
(-24.3, -0.5)
(-24.4, -0.5)
(-24.5, -0.5)
(-24.6, -0.5)
(-24.7, -0.5)
(-24.8, -0.5)
(-24.9, -0.5)
(-25.0, -0.5)
(-25.1, -0.5)
(-25.2, -0.5)
(-25.3, -0.5)
(-25.4, -0.5)
(-25.5, -0.5)
(-25.6, -0.5)
(-25.7, -0.5)
(-25.8, -0.5)
(-25.9, -0.5)
(-26.0, -0.5)
(-26.1, -0.5)
(-26.2, -0.5)
(-26.3, -0.5)
(-26.4, -0.5)
(-26.5, -0.5)
(-26.6, -0.5)
(-26.7, -0.5)
(-26.8, -0.5)
(-26.9, -0.5)
(-27.0, -0.5)
(-27.1, -0.5)
(-27.2, -0.5)
(-27.3, -0.5)
(-27.4, -0.5)
(-27.5, -0.5)
(-27.6, -0.5)
(-27.7, -0.5)
(-27.8, -0.5)
(-27.9, -0.5)
(-28.0, -0.5)
(-28.1, -0.5)
(-28.2, -0.5)
(-28.3, -0.5)
(-28.4, -0.5)
(-28.5, -0.5)
(-28.6, -0.5)
(-28.7, -0.5)
(-28.8, -0.5)
(-28.9, -0.5)
(-29.0, -0.5)
(-29.1, -0.5)
(-29.2, -0.5)
(-29.3, -0.5)
(-29.4, -0.5)
(-29.5, -0.5)
(-29.6, -0.5)
(-29.7, -0.5)
(-29.8, -0.5)
(-29.9, -0.5)
(-30.0, -0.5)
(-30.1, -0.5)
(-30.2, -0.5)
(-30.3, -0.5)
(-30.4, -0.5)
(-30.5, -0.5)
(-30.6, -0.5)
(-30.7, -0.5)
(-30.8, -0.5)
(-30.9, -0.5)
(-31.0, -0.5)
(-31.1, -0.5)
(-31.2, -0.5)
(-31.3, -0.5)
(-31.4, -0.5)
(-31.5, -0.5)
(-31.6, -0.5)
(-31.7, -0.5)
(-31.8, -0.5)
(-31.9, -0.5)
(-32.0, -0.5)
(-32.1, -0.5)
(-32.2, -0.5)
(-32.3, -0.5)
(-32.4, -0.5)
(-32.5, -0.5)
(-32.6, -0.5)
(-32.7, -0.5)
(-32.8, -0.5)
(-32.9, -0.5)
(-33.0, -0.5)
(-33.1, -0.5)
(-33.2, -0.5)
(-33.3, -0.5)
(-33.4, -0.5)
(-33.5, -0.5)
(-33.6, -0.5)
(-33.7, -0.5)
(-33.8, -0.5)
(-33.9, -0.5)
(-34.0, -0.5)
(-34.1, -0.5)
(-34.2, -0.5)
(-34.3, -0.5)
(-34.4, -0.5)
(-34.5, -0.5)
(-34.6, -0.5)
(-34.7, -0.5)
(-34.8, -0.5)
(-34.9, -0.5)
(-35.0, -0.5)
(-35.1, -0.5)
(-35.2, -0.5)
(-35.3, -0.5)
(-35.4, -0.5)
(-35.5, -0.5)
(-35.6, -0.5)
(-35.7, -0.5)
(-35.8, -0.5)
(-35.9, -0.5)
(-36.0, -0.5)
(-36.1, -0.5)
(-36.2, -0.5)
(-36.3, -0.5)
(-36.4, -0.5)
(-36.5, -0.5)
(-36.6, -0.5)
(-36.7, -0.5)
(-36.8, -0.5)
(-36.9, -0.5)
(-37.0, -0.5)
(-37.1, -0.5)
(-37.2, -0.5)
(-37.3, -0.5)
(-37.4, -0.5)
(-37.5, -0.5)
(-37.6, -0.5)
(-37.7, -0.5)
(-37.8, -0.5)
(-37.9, -0.5)
(-38.0, -0.5)
(-38.1, -0.5)
(-38.2, -0.5)
(-38.3, -0.5)
(-38.4, -0.5)
(-38.5, -0.5)
(-38.6, -0.5)
(-38.7, -0.5)
(-38.8, -0.5)
(-38.9, -0.5)
(-39.0, -0.5)
(-39.1, -0.5)
(-39.2, -0.5)
(-39.3, -0.5)
(-39.4, -0.5)
(-39.5, -0.5)
(-39.6, -0.5)
(-39.7, -0.5)
(-39.8, -0.5)
(-39.9, -0.5)
(-40.0, -0.5)
(-40.1, -0.5)
(-40.2, -0.5)
(-40.3, -0.5)
(-40.4, -0.5)
(-40.5, -0.5)
(-40.6, -0.5)
(-40.7, -0.5)
(-40.8, -0.5)
(-40.9, -0.5)
(-41.0, -0.5)
(-41.1, -0.5)
(-41.2, -0.5)
(-41.3, -0.5)
(-41.4, -0.5)
(-41.5, -0.5)
(-41.6, -0.5)
(-41.7, -0.5)
(-41.8, -0.5)
(-41.9, -0.5)
(-42.0, -0.5)
(-42.1, -0.5)
(-42.2, -0.5)
(-42.3, -0.5)
(-42.4, -0.5)
(-42.5, -0.5)
(-42.6, -0.5)
(-42.7, -0.5)
(-42.8, -0.5)
(-42.9, -0.5)
(-43.0, -0.5)
(-43.1, -0.5)
(-43.2, -0.5)
(-43.3, -0.5)
(-43.4, -0.5)
(-43.5, -0.5)
(-43.6, -0.5)
(-43.7, -0.5)
(-43.8, -0.5)
(-43.9, -0.5)
(-44.0, -0.5)
(-44.1, -0.5)
(-44.2, -0.5)
(-44.3, -0.5)
(-44.4, -0.5)
(-44.5, -0.5)
(-44.6, -0.5)
(-44.7, -0.5)
(-44.8, -0.5)
(-44.9, -0.5)
(-45.0, -0.5)
(-45.1, -0.5)
(-45.2, -0.5)
(-45.3, -0.5)
(-45.4, -0.5)
(-45.5, -0.5)
(-45.6, -0.5)
(-45.7, -0.5)
(-45.8, -0.5)
(-45.9, -0.5)
(-46.0, -0.5)
(-46.1, -0.5)
(-46.2, -0.5)
(-46.3, -0.5)
(-46.4, -0.5)
(-46.5, -0.5)
(-46.6, -0.5)
(-46.7, -0.5)
(-46.8, -0.5)
(-46.9, -0.5)
(-47.0, -0.5)
(-47.1, -0.5)
(-47.2, -0.5)
(-47.3, -0.5)
(-47.4, -0.5)
(-47.5, -0.5)
(-47.6, -0.5)
(-47.7, -0.5)
(-47.8, -0.5)
(-47.9, -0.5)
(-48.0, -0.5)
(-48.1, -0.5)
(-48.2, -0.5)
(-48.3, -0.5)
(-48.4, -0.5)
(-48.5, -0.5)
(-48.6, -0.5)
(-48.7, -0.5)
(-48.8, -0.5)
(-48.9, -0.5)
(-49.0, -0.5)
(-49.1, -0.5)
(-49.2, -0.5)
(-49.3, -0.5)
(-49.4, -0.5)
(-49.5, -0.5)
(-49.6, -0.5)
(-49.7, -0.5)
(-49.8, -0.5)
(-49.9, -0.5)
(-50.0, -0.5)
(-50.1, -0.5)
(-50.2, -0.5)
(-50.3, -0.5)
(-50.4, -0.5)
(-50.5, -0.5)
(-50.6, -0.5)
(-50.7, -0.5)
(-50.8, -0.5)
(-50.9, -0.5)
(-51.0, -0.5)
(-51.1, -0.5)
(-51.2, -0.5)
(-51.3, -0.5)
(-51.4, -0.5)
(-51.5, -0.5)
(-51.6, -0.5)
(-51.7, -0.5)
(-51.8, -0.5)
(-51.9, -0.5)
(-52.0, -0.4)
(-52.1, -0.4)
(-52.2, -0.4)
(-52.3, -0.3)
(-52.4, -0.3)
(-52.5, -0.3)
(-52.6, -0.2)
(-52.7, -0.2)
(-52.8, -0.2)
(-52.9, -0.1)
(-53.0, -0.1)
(-53.1, 0.0)
(-53.2, 0.0)
(-53.3, 0.1)
(-53.4, 0.1)
(-53.5, 0.2)
(-53.6, 0.2)
(-53.7, 0.3)
(-53.8, 0.3)
(-53.9, 0.4)
(-54.0, 0.4)
(-54.1, 0.5)
(-54.2, 0.5)
(-54.3, 0.6)
(-54.3, 0.6)
(-54.3, 0.7)
(-54.3, 0.8)
(-54.3, 0.9)
(-54.3, 1.0)
(-54.3, 1.1)
(-54.3, 1.2)
(-54.3, 1.3)
(-54.3, 1.4)
(-54.3, 1.5)
(-54.3, 1.6)
(-54.3, 1.7)
(-54.3, 1.8)
(-54.3, 1.9)
(-54.3, 2.0)
(-54.3, 2.1)
(-54.3, 2.2)
(-54.3, 2.3)
(-54.3, 2.4)
(-54.3, 2.5)
(-54.3, 2.6)
(-54.3, 2.7)
(-54.3, 2.8)
(-54.3, 2.9)
(-54.3, 3.0)
(-54.3, 3.1)
(-54.3, 3.2)
(-54.3, 3.3)
(-54.3, 3.4)
(-54.3, 3.5)
(-54.3, 3.6)
(-54.3, 3.7)
(-54.3, 3.8)
(-54.3, 3.9)
(-54.3, 4.0)
(-54.3, 4.1)
(-54.3, 4.2)
(-54.3, 4.3)
(-54.3, 4.4)
(-54.3, 4.5)
(-54.3, 4.6)
(-54.3, 4.7)
(-54.3, 4.8)
(-54.3, 4.9)
(-54.3, 5.0)
(-54.3, 5.1)
(-54.3, 5.2)
(-54.3, 5.3)
(-54.3, 5.4)
(-54.3, 5.5)
(-54.3, 5.6)
(-54.3, 5.7)
(-54.3, 5.8)
(-54.3, 5.9)
(-54.3, 6.0)
(-54.3, 6.1)
(-54.3, 6.2)
(-54.3, 6.3)
(-54.3, 6.4)
(-54.3, 6.5)
(-54.3, 6.6)
(-54.3, 6.7)
(-54.3, 6.8)
(-54.3, 6.9)
(-54.3, 7.0)
(-54.3, 7.1)
(-54.3, 7.2)
(-54.3, 7.3)
(-54.3, 7.4)
(-54.3, 7.5)
(-54.3, 7.6)
